,HS06,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator
,count,sum,min,mean,median,max,std,sum,min,mean,median,max,std,sum,min,mean,median,max,std
HS02,,,,,,,,,,,,,,,,,,,
75,27,115,2,4.2592592592592595,3.0,10,2.4587769409981144,683,9,25.296296296296298,21.0,59,12.237441961250962,45.638888888888886,1.0,1.6903292181069958,1.75,3.0,0.6054253615875774
76,2116,10070,1,4.758979206049149,4.0,23,3.089146668119861,64687,3,30.570415879017013,26.0,150,19.30044289639944,3658.151135636174,1.0,1.7288048845161503,1.5,17.0,0.8564379494119837
78,10,30,1,3.0,3.0,5,1.247219128924647,204,9,20.4,22.5,31,8.395766128763288,16.0,1.0,1.6,1.25,5.0,1.2170344446671066
79,38,141,1,3.710526315789474,3.0,9,2.0122314457290083,880,5,23.157894736842106,22.0,55,11.947014363632299,88.42619047619047,1.0,2.327005012531328,1.6,20.0,3.0429632972782295
80,15,46,2,3.066666666666667,3.0,5,1.0997835284835873,261,7,17.4,18.0,30,7.734893110352038,24.066666666666666,1.0,1.6044444444444443,1.5,3.0,0.6374697834938726
81,19,52,1,2.736842105263158,2.0,7,1.4469164631940534,388,8,20.42105263157895,16.0,43,9.275510105611348,35.88095238095238,1.0,1.8884711779448622,1.5,4.333333333333333,1.0314728768929746
82,7972,33864,1,4.247867536377321,4.0,27,2.4637941247011947,205919,2,25.830280983442048,22.0,150,14.918031255036052,14955.23915555012,1.0,1.8759707922165227,1.625,59.0,1.19701543559653
83,4285,18447,1,4.305017502917153,4.0,26,2.79180900275493,114683,3,26.76382730455076,22.0,140,17.975908462945842,7543.089153268323,1.0,1.7603475270171114,1.5,19.0,1.0328363954781652
84,54901,256770,1,4.676963989726963,4.0,33,2.991444864017909,1657412,2,30.189104023606127,26.0,150,18.7423381902679,108947.0215813314,1.0,1.9844269062736817,1.6666666666666667,26.0,1.1598619696045884
85,33571,157199,1,4.68258318191296,4.0,31,3.155637188356074,1023987,2,30.502129814423164,25.0,150,20.71470719951355,67054.18812402869,1.0,1.9973842937067317,1.6666666666666667,38.0,1.3596318335162965
86,406,1784,1,4.394088669950739,4.0,17,2.452988005490689,11537,5,28.41625615763547,25.0,97,15.08188781363626,701.5002037178508,1.0,1.7278330140833764,1.5,7.5,0.8519808578283335
87,28476,150753,1,5.2940370838600925,5.0,41,2.905131710352967,998884,3,35.078100856861916,30.0,150,21.002915725252358,58631.14629288461,1.0,2.0589670702656484,1.8333333333333333,22.0,1.025110311531527
88,293,1143,1,3.901023890784983,3.0,14,2.0171607036182806,7640,4,26.07508532423208,23.0,88,14.133941965682123,555.7289682539682,1.0,1.8966858984777073,1.5714285714285714,6.2,0.9992329713661071
89,98,384,1,3.9183673469387754,3.0,14,2.9833678795787435,2433,4,24.8265306122449,18.0,96,21.1099358588076,153.90079365079364,1.0,1.5704162617427924,1.5,4.666666666666667,0.6439247558823791
90,11611,53313,1,4.591594177934717,4.0,28,2.982281000314657,364062,3,31.3549220566704,27.0,150,19.635810695985608,22713.137143114458,1.0,1.95617407140767,1.75,16.0,1.021780170873115
91,496,2162,1,4.358870967741935,4.0,23,2.693846698652746,13770,4,27.762096774193548,25.0,134,17.19959639057547,783.8504246322021,1.0,1.5803435980487945,1.4,7.0,0.722900795048453
92,317,1055,1,3.32807570977918,3.0,13,2.1182451285509045,6798,4,21.444794952681388,17.0,88,14.48594734929534,439.12858807858805,1.0,1.3852636847904987,1.0,4.0,0.5822853742447981
93,64,242,1,3.78125,3.0,12,2.675394941917566,1578,4,24.65625,20.0,68,16.408687932998774,130.59880952380954,1.0,2.040606398809524,1.75,6.5,1.1736930752337622
94,7921,33169,1,4.187476328746371,3.0,32,2.7640960504727143,204300,3,25.792197954803687,21.0,150,17.27220411759889,12475.90271163886,1.0,1.5750413725083778,1.3333333333333333,16.0,0.8596320700646586
95,4191,17044,1,4.066809830589358,4.0,28,2.236883979942177,100155,3,23.89763779527559,21.0,150,12.980663851929737,6111.075169204198,1.0,1.458142488476306,1.3333333333333333,10.5,0.6311613333666685
96,3091,12455,1,4.0294403105791,3.0,22,2.460846864765127,75242,3,24.342284050469104,21.0,132,14.98527717023626,5138.436948182536,1.0,1.6623865895123053,1.5,10.5,0.816961262308275
97,94,296,1,3.148936170212766,2.5,13,2.238266643135805,1972,6,20.97872340425532,17.0,74,13.922966810432058,139.65982905982906,1.0,1.485742862338607,1.0555555555555556,4.0,0.721784237678496
